phoneme,stop,nasal,fricative,liquid,labial,dental,palatal,consonant,vowel
ɛ,0,0,0,0,0,0,0,0,1
ʉ,0,0,0,0,0,0,0,0,1
ɳ,0,0,0,0,0,0,0,1,0
ʂ,0,0,0,0,0,0,0,1,0
ŋ,0,0,0,0,0,0,0,1,0
ʊ,0,0,0,0,0,0,0,0,1
ɧ,0,0,0,0,0,0,0,1,0
ɪ,0,0,0,0,0,0,0,0,1
j,0,0,1,0,0,0,1,1,0
ɔ,0,0,0,0,0,0,0,0,1
u,0,0,0,0,0,0,0,0,1
r,0,0,0,1,0,1,0,1,0
o,0,0,0,0,0,0,0,0,1
f,0,0,1,0,1,0,0,1,0
i,0,0,0,0,0,0,0,0,1
y,0,0,0,0,0,0,0,0,1
ɡ,1,0,0,0,0,0,1,1,0
m,0,1,0,0,1,0,0,1,0
l,0,0,0,1,0,1,0,1,0
ʏ,0,0,0,0,0,0,0,0,1
d,1,0,0,0,0,1,0,1,0
h,0,0,0,0,0,0,0,1,0
ɭ,0,0,0,0,0,0,0,1,0
ʈ,0,0,0,0,0,0,0,1,0
ɖ,0,0,0,0,0,0,0,1,0
n,0,1,0,0,0,1,0,1,0
p,1,0,0,0,1,0,0,1,0
e,0,0,0,0,0,0,0,0,1
œ,0,0,0,0,0,0,0,0,1
t,1,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,1
ʦ,0,0,0,0,0,0,0,1,0
s,0,0,1,0,0,1,0,1,0
ø,0,0,0,0,0,0,0,0,1
ɑ,0,0,0,0,0,0,0,0,1
b,1,0,0,0,1,0,0,1,0
ʪ,0,0,0,0,0,0,0,1,0
v,0,0,1,0,1,0,0,1,0
k,1,0,0,0,0,0,1,1,0
